name,domain,city,countryCode,creatioLastActivityDisplayTimestamp,creatioLastContactDisplayTimestamp,creatioOwner,creatioStatus,creatioTeam,crunchbaseCategoryList,currentEmployeeCount,employeeCountGrowth,state,totalFunding
ONRAMP,onrampfleet.com,San Francisco,USA,2026-02-06T19:12:00,2026-02-06T19:12:00,Cassidy Piersiak,B,I&C,None,17,31.0,California,21000000
OpenAssets,openassets.to,Pittsburgh,USA,2026-02-05T12:37:32.810000,2026-02-05T12:37:32.810000,Trevor Eckler,A,SW,None,27,0.0,Pennsylvania,
Operators Guild,operators-guild.com,Daly City,USA,2026-02-06T16:48:07.197000,2026-02-06T16:48:07.197000,Steve Shaffer,C,Operations,None,558,11.0,California,
Paid.care,paid.care,Bloomington,USA,2026-02-05T11:35:32.490769,2026-02-05T11:16:34.989000,Cassidy Piersiak,S2,I&C,"Home Health Care,Software",14,100.0,Indiana,30000
PANTA,pantaindex.com,None,None,2026-02-05T09:54:10.006025,2026-02-05T09:53:46.563000,None,C,None,None,,,,
ParkM,parkm.com,Greenwood Village,USA,2026-02-06T17:20:34.897000,2026-02-06T17:20:34.897000,Michael Brannan,S2,SW,"Online Portals,Parking,Property Management,Real Estate,Software",29,53.0,Colorado,
PayLow Pro,paylowpro.com,None,None,2026-02-05T09:13:01.568000,2026-02-05T09:13:01.568000,James McGibbon,B,SW,None,,,,
Perle,perle.ai,San Francisco,USA,2026-02-06T12:37:17.128000,2026-02-06T12:37:17.128000,Juliet Fitzgerald,S3,I&C,"Artificial Intelligence (AI),Information Technology,Internet",71,689.0,California,16000000
Proxy,proxylegalapp.com,Chicago,USA,2026-02-05T16:38:05.509000,2026-02-05T16:38:05.509000,Chad Kemmerer,C,SW,None,18,29.0,Illinois,
Pulse Point,pulsepoint.ai,Woodstock,USA,2026-02-05T14:26:25.146000,2026-02-05T14:26:25.146000,Chad Kemmerer,B,SW,None,11,83.0,Georgia,
Qurable,qurable.co,Miami,USA,2026-02-05T13:36:11.335000,2026-02-05T13:36:11.335000,Danielle Brown,S2,I&C,"Artificial Intelligence (AI),Blockchain,Consumer Software,Credit Cards,Cryptocurrency,FinTech,Internet,Loyalty Programs,SaaS",44,159.0,Florida,1665000
READI,readibots.com,Ottawa,CAN,2026-02-06T12:52:40.792546,2026-02-06T12:52:06.759000,None,B,None,"Information Technology,Software,Software Engineering",17,0.0,Ontario,
RealWork,realworklabs.com,Austin,USA,2026-02-06T15:42:03.772000,2026-02-06T15:42:03.772000,Hannah Ditmars,S2,SW,Software,87,23.0,Texas,2500000
Remi,remihq.com,Lehi,USA,2026-02-06T17:01:14.615000,2026-02-06T17:01:14.615000,Carolyn Woll,S3,I&C,"Construction,Home Improvement,Software",31,35.0,Utah,21500000
R.grid,rgrid.tech,London,GBR,2026-02-05T12:25:35.689000,2026-02-05T12:25:35.689000,Chad Kemmerer,C,SW,"Artificial Intelligence (AI),Machine Learning,Software",28,180.0,"London, City of",8042822
Sandbox Wealth,sandboxwealth.com,New York,USA,2026-02-06T09:22:44.801000,2026-02-06T09:22:44.801000,Juliet Fitzgerald,C,I&C,"Financial Services,FinTech,Software,Wealth Management",12,50.0,New York,1250000
S-Docs,sdocs.com,New York,USA,2026-02-05T11:58:48.442000,2026-02-05T11:58:48.442000,Nikki Schwenk,S2,SW,"Cloud Computing,CRM,Enterprise Software,SaaS,Software",49,0.0,New York,
Sellfire,sellfire.com,Austin,USA,2026-02-06T14:08:00.560324,2026-02-06T14:07:31.596000,Nikki Schwenk,S2,SW,"Apps,Artificial Intelligence (AI),Consulting,Information Technology,Sales,Software,Training",36,13.0,Texas,100007
trumpet 🎺,sendtrumpet.com,London,GBR,2026-02-06T17:19:08.574000,2026-02-06T17:19:08.574000,Michael Brannan,S3,SW,"Marketing,SaaS,Sales,Sales Automation,Software",51,46.0,"London, City of",9589799
Silkline,silkline.ai,Chicago,USA,2026-02-06T13:29:59.304000,2026-02-06T13:29:59.304000,Chad Kemmerer,B,SW,None,13,86.0,Illinois,4000000
SiteLabs,sitelabsglobal.com,Anderson,USA,2026-02-05T14:23:37.048087,2026-02-05T14:23:15.703000,None,B,None,"Health Care,Medical,Test and Measurement",15,50.0,South Carolina,2250000
SketchDeck.ai,sketchdeck.ai,Edmonton,CAN,2026-02-06T16:04:55.075000,2026-02-06T13:34:03.557000,Chad Kemmerer,B,SW,"Artificial Intelligence (AI),Machine Learning,Software",18,100.0,Alberta,120000
Skyvern,skyvern.com,San Francisco,USA,2026-02-05T14:24:29.856000,2026-02-05T14:24:29.856000,Chad Kemmerer,B,SW,"Artificial Intelligence (AI),Data Center Automation,Software",9,80.0,California,500000
SoldThrough,soldthrough.com,Austin,USA,2026-02-05T15:46:51.220000,2026-02-05T15:46:51.220000,Cassidy Piersiak,A,I&C,"Business Development,Retail",17,70.0,Texas,
spotixx,spotixx.com,Frankfurt,GER,2026-02-05T12:32:50.208131,2026-02-05T12:32:31.848000,None,B,None,"Artificial Intelligence (AI),Banking,Financial Services,FinTech,Fraud Detection,Machine Learning",26,-7.0,Hesse,
Tembi - Market Intelligence,tembi.io,Copenhagen,DNK,2026-02-06T13:27:52.772000,2026-02-06T13:27:52.772000,Chad Kemmerer,B,SW,"Business Development,Business Process Automation (BPA),Data Management",26,13.0,Hovedstaden,3122903
Tewke,tewke.com,London,GBR,2026-02-05T10:47:07.426151,2026-02-05T10:46:39.725000,None,C,None,"Clean Energy,CleanTech,Energy Efficiency,Energy Management,Smart Home",20,67.0,"London, City of",3290481
The Swarm,theswarm.com,San Francisco,USA,2026-02-06T13:17:17.694000,2026-02-06T13:17:17.694000,Chad Kemmerer,B,SW,"Business Development,Professional Networking,Recruiting,Sales,Software",15,-12.0,California,8000000
TalentMapper,thetalentmapper.com,London,GBR,2026-02-05T09:53:34.552000,2026-02-05T09:53:34.552000,Trevor Eckler,B,SW,"Artificial Intelligence (AI),Human Resources,Machine Learning",18,38.0,"London, City of",2443987
Titan,titanbanking.ai,New York,USA,2026-02-06T10:22:22.075000,2026-02-06T10:22:22.075000,Trevor Eckler,B,SW,None,11,38.0,New York,
Tracts,tracts.co,Houston,USA,2026-02-06T11:07:30.591000,2026-02-06T11:07:30.591000,Trevor Eckler,S2,SW,"Energy,Oil and Gas,SaaS,Software",20,11.0,Texas,2300000
Travel Code,travel-code.com,St. Petersburg,USA,2026-02-06T11:04:19.831000,2026-02-06T11:04:19.831000,Trevor Eckler,B,SW,None,12,71.0,Florida,
Traycer,traycer.ai,San Francisco,USA,2026-02-06T09:48:23.831000,2026-02-06T09:48:23.831000,Trevor Eckler,B,SW,"Artificial Intelligence (AI),Developer Tools,SaaS,Software",11,57.0,California,40000
Guac,tryguac.co,Dover,USA,2026-02-06T10:29:17.875000,2026-02-06T10:29:17.875000,Nikki Schwenk,A,SW,"Artificial Intelligence (AI),Information Services,Retail Technology,Supply Chain Management",,,DE,2800000
Twosense,twosense.ai,New York,USA,2026-02-05T14:46:07.779000,2026-02-05T14:46:07.779000,Hannah Ditmars,C,SW,"Artificial Intelligence (AI),Biometrics,Cyber Security,Enterprise,Identity Management,Security,Software",12,-25.0,New York,6653000
Unit 221B,unit221b.com,New York,USA,2026-02-06T16:33:39.087000,2026-02-06T16:33:39.087000,Hannah Ditmars,B,SW,"Cyber Security,Information Technology,Security",18,-5.0,New York,5000000
Unsloth AI,unsloth.ai,San Francisco,USA,2026-02-05T12:02:49.869000,2026-02-05T12:02:49.869000,Nikki Schwenk,A+,SW,"Artificial Intelligence (AI),Generative AI,Machine Learning,Open Source,Software",12,50.0,California,540000
Bruno,usebruno.com,Austin,USA,2026-02-06T11:11:33.089000,2026-02-06T11:11:33.089000,Trevor Eckler,B,SW,"Developer APIs,Information Technology,Open Source",37,85.0,Texas,
Horizon AI,usehorizon.ai,San Francisco,USA,2026-02-05T12:33:00.075831,2026-02-05T12:31:56.021000,None,B,None,"Artificial Intelligence (AI),Banking,Enterprise Software,Financial Services,Management Consulting,Productivity Tools,SaaS",,,CA,
Vessel,vessel.co,Montréal,CAN,2026-02-06T13:57:35.157000,2026-02-06T13:57:35.157000,Danielle Brown,B,I&C,"Financial Services,FinTech,Online Portals,Venture Capital",20,100.0,Quebec,7511504
